red x,red val,yellow x,yellow val,green x,gren val,purple x,purple val
77,-13.4,77,-2.1,77,-4.5,77,-0.5
76,-29.3,76,-1.4,76,-9.1,76,-2.3
75,-49.4,75,-2.4,75,-11.1,75,-3.2
74,-61.5,74,-3.2,74,-15.9,74,-4.7
73,-63.4,73,-5.3,73,-22.7,73,-7.5
72,-58.8,72,-8.8,72,-34,72,-13.1
71,-47.8,71,-18.1,71,-50.3,71,-23.2
70,-26.7,70,-36.7,70,-69.8,70,-38
69,-12.1,69,-54.7,69,-83.7,69,-52.2
68,-6.1,68,-64.9,68,-91.3,68,-61.2
67,-3.3,67,-68.7,67,-91,67,-66.3
66,-2.4,66,-70.9,66,-86.3,66,-68.9
65,-1.7,65,-71.3,65,-80.7,65,-70
64,-1.3,64,-72.4,64,-75.8,64,-71
63,-0.9,63,-72.6,63,-70.4,63,-71.8
62,-0.9,62,-72.5,62,-65.5,62,-72.4
61,-0.6,61,-72.5,61,-58.8,61,-72.9
60,-0.9,60,-72.8,60,-53.2,60,-72.8
59,-0.6,59,-73,59,-47.1,59,-73.3
58,-0.8,58,-73.1,58,-42.7,58,-73.5
57,-0.8,57,-73.2,57,-39.3,57,-73.6
56,-0.7,56,-73.1,56,-37.3,56,-73.7
55,-0.7,55,-73.2,55,-34.9,55,-73.8
54,-0.8,54,-73.3,54,-32.8,54,-73.6
53,-0.8,53,-73.1,53,-29.3,53,-74
52,-0.6,52,-72.6,52,-24.9,52,-73.6
51,-0.3,51,-72.2,51,-21.2,51,-73.3
50,-0.6,50,-72.1,50,-18.2,50,-73.4
49,-0.5,49,-72.2,49,-15.5,49,-73.3
48,-0.6,48,-72.2,48,-11.1,48,-73.4
47,-0.4,47,-72.5,47,-7.7,47,-73.1
46,-0.6,46,-72.1,46,-5.1,46,-73.1
45,-0.5,45,-72.7,45,-3.4,45,-73
44,-0.2,44,-73.6,44,-2.7,44,-72.2
43,-0.4,43,-74.1,43,-1.7,43,-71.2
42,-0.3,42,-74.2,42,-1.4,42,-69.3
41,-0.4,41,-73.9,41,-1.2,41,-66.1
40,-0.4,40,-73.6,40,-0.8,40,-61.2
39,-0.3,39,-72.5,39,-0.8,39,-57.6
20,-0.1,38,-70.5,38,-0.8,38,-54.2
15,-0.1,37,-68.7,37,-0.8,37,-50.7
10,-0.1,36,-71,36,-0.6,36,-47.5
5,-0.1,35,-72,35,-0.4,35,-44.7
0,-0.1,34,-72.9,34,-0.5,34,-42
,,33,-73.4,33,-0.5,33,-38.9
,,32,-73.6,32,-0.3,32,-38.1
,,31,-73.5,31,-0.4,31,-37.8
,,30,-74.1,30,-0.4,30,-36.6
,,29,-73.8,29,-0.5,29,-35.8
,,28,-73.5,28,-0.5,27,-34
,,27,-72.4,27,-0.4,26,-30.7
,,26,-72,26,-0.4,25,-26.3
,,25,-72.2,25,-0.4,24,-22.1
,,24,-72.5,24,-0.4,23,-19.8
,,23,-72.1,23,-0.4,22,-19.1
,,22,-72.4,22,-0.4,21,-17.6
,,21,-72,20,-0.3,20,-16.4
,,20,-72.2,19,-0.2,19,-15.1
,,18,-72.9,18,-0.1,18,-13.4
,,17,-72.6,17,-0.1,17,-12.1
,,16,-72.5,16,-0.5,16,-10.7
,,15,-72.3,15,-0.7,15,-8.8
,,14,-71.3,14,-0.5,14,-5.7
,,13,-71.3,13,-0.7,13,-3.2
,,12,-72,12,-0.9,12,-1.8
,,11,-72.2,11,-0.8,11,-1.4
,,10,-72.6,10,-0.6,10,-0.9
,,9,-72.5,9,-0.4,9,-0.4
,,8,-71.6,8,-0.3,8,-0.1
,,7,-69.9,7,-0.3,7,-0.1
,,6,-67.5,6,-0.2,6,-0.1
,,5,-61.2,5,-0.2,5,-0.1
,,4,-41.2,4,-0.1,4,-0.1
,,3,-26.1,3,-0.1,3,-0.1
,,2,-12.8,2,-0.1,2,-0.1
,,1,-10,1,-0.1,1,-0.1
,,0,-7,0,-0.1,0,-0.1
